DATE,CPIAUCSL
1/1/1984,102.1
2/1/1984,102.6
3/1/1984,102.9
4/1/1984,103.3
5/1/1984,103.5
6/1/1984,103.7
7/1/1984,104.1
8/1/1984,104.4
9/1/1984,104.7
10/1/1984,105.1
11/1/1984,105.3
12/1/1984,105.5
1/1/1985,105.7
2/1/1985,106.3
3/1/1985,106.8
4/1/1985,107
5/1/1985,107.2
6/1/1985,107.5
7/1/1985,107.7
8/1/1985,107.9
9/1/1985,108.1
10/1/1985,108.5
11/1/1985,109
12/1/1985,109.5
1/1/1986,109.9
2/1/1986,109.7
3/1/1986,109.1
4/1/1986,108.7
5/1/1986,109
6/1/1986,109.4
7/1/1986,109.5
8/1/1986,109.6
9/1/1986,110
10/1/1986,110.2
11/1/1986,110.4
12/1/1986,110.8
1/1/1987,111.4
2/1/1987,111.8
3/1/1987,112.2
4/1/1987,112.7
5/1/1987,113
6/1/1987,113.5
7/1/1987,113.8
8/1/1987,114.3
9/1/1987,114.7
10/1/1987,115
11/1/1987,115.4
12/1/1987,115.6
1/1/1988,116
2/1/1988,116.2
3/1/1988,116.5
4/1/1988,117.2
5/1/1988,117.5
6/1/1988,118
7/1/1988,118.5
8/1/1988,119
9/1/1988,119.5
10/1/1988,119.9
11/1/1988,120.3
12/1/1988,120.7
1/1/1989,121.2
2/1/1989,121.6
3/1/1989,122.2
4/1/1989,123.1
5/1/1989,123.7
6/1/1989,124.1
7/1/1989,124.5
8/1/1989,124.5
9/1/1989,124.8
10/1/1989,125.4
11/1/1989,125.9
12/1/1989,126.3
1/1/1990,127.5
2/1/1990,128
3/1/1990,128.6
4/1/1990,128.9
5/1/1990,129.1
6/1/1990,129.9
7/1/1990,130.5
8/1/1990,131.6
9/1/1990,132.5
10/1/1990,133.4
11/1/1990,133.7
12/1/1990,134.2
1/1/1991,134.7
2/1/1991,134.8
3/1/1991,134.8
4/1/1991,135.1
5/1/1991,135.6
6/1/1991,136
7/1/1991,136.2
8/1/1991,136.6
9/1/1991,137
10/1/1991,137.2
11/1/1991,137.8
12/1/1991,138.2
1/1/1992,138.3
2/1/1992,138.6
3/1/1992,139.1
4/1/1992,139.4
5/1/1992,139.7
6/1/1992,140.1
7/1/1992,140.5
8/1/1992,140.8
9/1/1992,141.1
10/1/1992,141.7
11/1/1992,142.1
12/1/1992,142.3
1/1/1993,142.8
2/1/1993,143.1
3/1/1993,143.3
4/1/1993,143.8
5/1/1993,144.2
6/1/1993,144.3
7/1/1993,144.5
8/1/1993,144.8
9/1/1993,145
10/1/1993,145.6
11/1/1993,146
12/1/1993,146.3
1/1/1994,146.3
2/1/1994,146.7
3/1/1994,147.1
4/1/1994,147.2
5/1/1994,147.5
6/1/1994,147.9
7/1/1994,148.4
8/1/1994,149
9/1/1994,149.3
10/1/1994,149.4
11/1/1994,149.8
12/1/1994,150.1
1/1/1995,150.5
2/1/1995,150.9
3/1/1995,151.2
4/1/1995,151.8
5/1/1995,152.1
6/1/1995,152.4
7/1/1995,152.6
8/1/1995,152.9
9/1/1995,153.1
10/1/1995,153.5
11/1/1995,153.7
12/1/1995,153.9
1/1/1996,154.7
2/1/1996,155
3/1/1996,155.5
4/1/1996,156.1
5/1/1996,156.4
6/1/1996,156.7
7/1/1996,157
8/1/1996,157.2
9/1/1996,157.7
10/1/1996,158.2
11/1/1996,158.7
12/1/1996,159.1
1/1/1997,159.4
2/1/1997,159.7
3/1/1997,159.8
4/1/1997,159.9
5/1/1997,159.9
6/1/1997,160.2
7/1/1997,160.4
8/1/1997,160.8
9/1/1997,161.2
10/1/1997,161.5
11/1/1997,161.7
12/1/1997,161.8
1/1/1998,162
2/1/1998,162
3/1/1998,162
4/1/1998,162.2
5/1/1998,162.6
6/1/1998,162.8
7/1/1998,163.2
8/1/1998,163.4
9/1/1998,163.5
10/1/1998,163.9
11/1/1998,164.1
12/1/1998,164.4
1/1/1999,164.7
2/1/1999,164.7
3/1/1999,164.8
4/1/1999,165.9
5/1/1999,166
6/1/1999,166
7/1/1999,166.7
8/1/1999,167.1
9/1/1999,167.8
10/1/1999,168.1
11/1/1999,168.4
12/1/1999,168.8
1/1/2000,169.3
2/1/2000,170
3/1/2000,171
4/1/2000,170.9
5/1/2000,171.2
6/1/2000,172.2
7/1/2000,172.7
8/1/2000,172.7
9/1/2000,173.6
10/1/2000,173.9
11/1/2000,174.2
12/1/2000,174.6
1/1/2001,175.6
2/1/2001,176
3/1/2001,176.1
4/1/2001,176.4
5/1/2001,177.3
6/1/2001,177.7
7/1/2001,177.4
8/1/2001,177.4
9/1/2001,178.1
10/1/2001,177.6
11/1/2001,177.5
12/1/2001,177.4
1/1/2002,177.7
2/1/2002,178
3/1/2002,178.5
4/1/2002,179.3
5/1/2002,179.5
6/1/2002,179.6
7/1/2002,180
8/1/2002,180.5
9/1/2002,180.8
10/1/2002,181.2
11/1/2002,181.5
12/1/2002,181.8
1/1/2003,182.6
2/1/2003,183.6
3/1/2003,183.9
4/1/2003,183.2
5/1/2003,182.9
6/1/2003,183.1
7/1/2003,183.7
8/1/2003,184.5
9/1/2003,185.1
10/1/2003,184.9
11/1/2003,185
12/1/2003,185.5
1/1/2004,186.3
2/1/2004,186.7
3/1/2004,187.1
4/1/2004,187.4
5/1/2004,188.2
6/1/2004,188.9
7/1/2004,189.1
8/1/2004,189.2
9/1/2004,189.8
10/1/2004,190.8
11/1/2004,191.7
12/1/2004,191.7
1/1/2005,191.6
2/1/2005,192.4
3/1/2005,193.1
4/1/2005,193.7
5/1/2005,193.6
6/1/2005,193.7
7/1/2005,194.9
8/1/2005,196.1
9/1/2005,198.8
10/1/2005,199.1
11/1/2005,198.1
12/1/2005,198.1
1/1/2006,199.3
2/1/2006,199.4
3/1/2006,199.7
4/1/2006,200.7
5/1/2006,201.3
6/1/2006,201.8
7/1/2006,202.9
8/1/2006,203.8
9/1/2006,202.8
10/1/2006,201.9
11/1/2006,202
12/1/2006,203.1
1/1/2007,203.437
2/1/2007,204.226
3/1/2007,205.288
4/1/2007,205.904
5/1/2007,206.755
6/1/2007,207.234
7/1/2007,207.603
8/1/2007,207.667
9/1/2007,208.547
10/1/2007,209.19
11/1/2007,210.834
12/1/2007,211.445
1/1/2008,212.174
2/1/2008,212.687
3/1/2008,213.448
4/1/2008,213.942
5/1/2008,215.208
6/1/2008,217.463
7/1/2008,219.016
8/1/2008,218.69
9/1/2008,218.877
10/1/2008,216.995
11/1/2008,213.153
12/1/2008,211.398
1/1/2009,211.933
2/1/2009,212.705
3/1/2009,212.495
4/1/2009,212.709
5/1/2009,213.022
6/1/2009,214.79
7/1/2009,214.726
8/1/2009,215.445
9/1/2009,215.861
10/1/2009,216.509
11/1/2009,217.234
12/1/2009,217.347
1/1/2010,217.488
2/1/2010,217.281
3/1/2010,217.353
4/1/2010,217.403
5/1/2010,217.29
6/1/2010,217.199
7/1/2010,217.605
8/1/2010,217.923
9/1/2010,218.275
10/1/2010,219.035
11/1/2010,219.59
12/1/2010,220.472
1/1/2011,221.187
2/1/2011,221.898
3/1/2011,223.046
4/1/2011,224.093
5/1/2011,224.806
6/1/2011,224.806
7/1/2011,225.395
8/1/2011,226.106
9/1/2011,226.597
10/1/2011,226.75
11/1/2011,227.169
12/1/2011,227.223
1/1/2012,227.842
2/1/2012,228.329
3/1/2012,228.807
4/1/2012,229.187
5/1/2012,228.713
6/1/2012,228.524
7/1/2012,228.59
8/1/2012,229.918
9/1/2012,231.015
10/1/2012,231.638
11/1/2012,231.249
12/1/2012,231.221
1/1/2013,231.679
2/1/2013,232.937
3/1/2013,232.282
4/1/2013,231.797
5/1/2013,231.893
6/1/2013,232.445
7/1/2013,232.9
8/1/2013,233.456
9/1/2013,233.544
10/1/2013,233.669
11/1/2013,234.1
12/1/2013,234.719
1/1/2014,235.288
2/1/2014,235.547
3/1/2014,236.028
4/1/2014,236.468
5/1/2014,236.918
6/1/2014,237.231
7/1/2014,237.498
8/1/2014,237.46
9/1/2014,237.477
10/1/2014,237.43
11/1/2014,236.983
12/1/2014,236.252
1/1/2015,234.747
2/1/2015,235.342
3/1/2015,235.976
4/1/2015,236.222
5/1/2015,237.001
6/1/2015,237.657
7/1/2015,238.034
8/1/2015,238.033
9/1/2015,237.498
10/1/2015,237.733
11/1/2015,238.017
12/1/2015,237.761
1/1/2016,237.652
2/1/2016,237.336
3/1/2016,238.08
4/1/2016,238.992
5/1/2016,239.557
6/1/2016,240.222
7/1/2016,240.101
8/1/2016,240.545
9/1/2016,241.176
10/1/2016,241.741
11/1/2016,242.026
12/1/2016,242.637
1/1/2017,243.618
2/1/2017,244.006
3/1/2017,243.892
4/1/2017,244.193
5/1/2017,244.004
6/1/2017,244.163
7/1/2017,244.243
8/1/2017,245.183
9/1/2017,246.435
10/1/2017,246.626
11/1/2017,247.284
12/1/2017,247.805
1/1/2018,248.743
2/1/2018,249.439
3/1/2018,249.581
4/1/2018,250.146
5/1/2018,250.779
6/1/2018,251.118
7/1/2018,251.323
8/1/2018,251.749
9/1/2018,252.239
10/1/2018,252.862
11/1/2018,252.657
12/1/2018,252.551
1/1/2019,252.47
2/1/2019,253.135
3/1/2019,254.273
4/1/2019,255.163
5/1/2019,255.325
6/1/2019,255.361
7/1/2019,255.9
8/1/2019,256.179
9/1/2019,256.596
10/1/2019,257.305
11/1/2019,257.788
12/1/2019,258.263
1/1/2020,258.682
